Left Hand Side,Right Hand Side,Support,Confidence,Lift
Instant food products,hamburger meat,0.003050330452465684,0.379746835443038,11.42143769597027
baking powder,whipped/sour cream,0.004575495678698526,0.25862068965517243,3.607850330154072
beef,root vegetables,0.017386883579054397,0.3313953488372093,3.0403668431100312
berries,whipped/sour cream,0.009049313675648195,0.27217125382262997,3.796885505454703
liquor,bottled beer,0.004677173360447382,0.4220183486238532,5.240594013529793
red/blush wine,bottled beer,0.004880528723945094,0.253968253968254,3.1537598204264876
flour,margarine,0.0037620742247076767,0.21637426900584797,3.6945155133203382
flour,sugar,0.00498220640569395,0.28654970760233917,8.46311223504206
flour,whipped/sour cream,0.004067107269954245,0.23391812865497078,3.263240844427855
herbs,root vegetables,0.007015760040671073,0.43124999999999997,3.956477378731343
processed cheese,white bread,0.004168784951703101,0.25153374233128833,5.975445303932901
rice,root vegetables,0.00315200813421454,0.4133333333333334,3.792101990049752
sliced cheese,sausage,0.007015760040671073,0.2863070539419087,3.047434930215013
Instant food products,None,0.003050330452465684,0.379746835443038,11.42143769597027
baking powder,None,0.004575495678698526,0.25862068965517243,3.6129751175548592
beef,root vegetables,0.01728520589730554,0.32945736434108525,3.0254091300602926
berries,None,0.009049313675648195,0.27217125382262997,3.802278808729497
liquor,None,0.004677173360447382,0.4220183486238532,5.240594013529793
red/blush wine,None,0.004880528723945094,0.253968253968254,3.1537598204264876
flour,margarine,0.0036603965429588205,0.2105263157894737,3.6009153318077805
flour,sugar,0.004880528723945094,0.28070175438596495,8.315366730078209
flour,None,0.003965429588205389,0.2280701754385965,3.1861792264752795
herbs,root vegetables,0.007015760040671073,0.43124999999999997,3.9601715686274503
processed cheese,white bread,0.004168784951703101,0.25153374233128833,5.975445303932901
rice,root vegetables,0.00315200813421454,0.4133333333333334,3.795642701525055
sliced cheese,None,0.007015760040671073,0.2863070539419087,3.0507365931946606
baking powder,whole milk,0.004372140315200813,0.24712643678160917,3.3022941654172913
citrus fruit,root vegetables,0.003863751906456533,0.45783132530120485,4.200346160762454
other vegetables,pork,0.004168784951703101,0.211340206185567,3.665839378897798
other vegetables,root vegetables,0.007930859176410779,0.40206185567010316,3.688692491152486
beef,other vegetables,0.004473817996949669,0.5866666666666667,3.031984585741811
rolls/buns,root vegetables,0.00498220640569395,0.3656716417910448,3.354832646469147
beef,root vegetables,0.003965429588205389,0.48750000000000004,4.472539645522389
beef,root vegetables,0.0037620742247076767,0.49333333333333335,4.526057213930349
whole milk,root vegetables,0.008032536858159633,0.37799043062200954,3.467850639148754
beef,root vegetables,0.004575495678698526,0.391304347826087,3.5899983776768334
whole milk,whipped/sour cream,0.004270462633451958,0.36206896551724144,5.050990462215702
butter,root vegetables,0.003355363497712252,0.375,3.4404151119402986
whipped/sour cream,other vegetables,0.003050330452465684,0.6521739130434783,3.3705362242683177
chocolate,butter,0.003355363497712252,0.20121951219512196,3.6311814723651827
other vegetables,domestic eggs,0.004575495678698526,0.2284263959390863,3.6002782116360796
domestic eggs,root vegetables,0.003253685815963396,0.3368421052631579,3.0903377847604085
whole milk,domestic eggs,0.005998983223182512,0.21771217712177124,3.4314090737061216
butter,yogurt,0.0035587188612099642,0.44303797468354433,3.1758589511754067
whole milk,butter,0.003050330452465684,0.20689655172413793,3.7336285985447644
whole milk,butter,0.003050330452465684,0.2380952380952381,4.296636085626911
onions,butter,0.003050330452465684,0.25210084033613445,4.549379384781435
other vegetables,root vegetables,0.0066090493136756485,0.3299492385786802,3.027099590878097
other vegetables,whipped/sour cream,0.005795627859684799,0.2893401015228426,4.036397019116535
butter,root vegetables,0.0035587188612099642,0.35714285714285715,3.2765858208955225
butter,whipped/sour cream,0.0034570411794611084,0.2677165354330709,3.734740604232982
butter,whipped/sour cream,0.003050330452465684,0.30612244897959184,4.270516717325228
butter,yogurt,0.004575495678698526,0.45918367346938777,3.291597251145356
whole milk,whipped/sour cream,0.006710726995424504,0.24354243542435425,3.397503336735495
butter,whipped/sour cream,0.003863751906456533,0.2638888888888889,3.6813435776201735
butter milk,pip fruit,0.003253685815963396,0.3137254901960784,4.147164242040902
citrus fruit,root vegetables,0.003050330452465684,0.4411764705882353,4.0475471905179985
whole milk,domestic eggs,0.003965429588205389,0.2254335260115607,3.5531069364161847
chicken,other vegetables,0.00315200813421454,0.5961538461538461,3.0810158050042444
other vegetables,whipped/sour cream,0.003863751906456533,0.21590909090909094,3.0120083816892333
yogurt,other vegetables,0.004880528723945094,0.5853658536585367,3.0252617817822953
whole milk,root vegetables,0.005998983223182512,0.34104046242774566,3.1288553619187303
yogurt,root vegetables,0.003050330452465684,0.3658536585365854,3.356502548234438
whole milk,whipped/sour cream,0.004168784951703101,0.23699421965317916,3.3061534046652725
whole milk,chocolate,0.003050330452465684,0.22556390977443608,4.545944779982744
citrus fruit,yogurt,0.003050330452465684,0.4285714285714286,3.072157434402332
citrus fruit,root vegetables,0.0034570411794611084,0.3333333333333333,3.058146766169154
citrus fruit,fruit/vegetable juice,0.003355363497712252,0.2619047619047619,3.622831692451946
citrus fruit,tropical fruit,0.003965429588205389,0.3823529411764706,3.643838349293206
onions,other vegetables,0.0035587188612099642,0.6363636363636364,3.288826255195146
citrus fruit,root vegetables,0.010371123538383325,0.3591549295774648,3.295045459323103
other vegetables,citrus fruit,0.009049313675648195,0.2521246458923513,3.0462480250015664
root vegetables,citrus fruit,0.003863751906456533,0.24836601307189543,3.0008350596585895
citrus fruit,tropical fruit,0.005592272496187087,0.4044117647058823,3.8540597925216593
citrus fruit,tropical fruit,0.0056939501779359435,0.3218390804597701,3.0671389111645726
citrus fruit,yogurt,0.004575495678698526,0.42056074766355145,3.01473393095556
tropical fruit,yogurt,0.003050330452465684,0.4285714285714286,3.072157434402332
whole milk,domestic eggs,0.0034570411794611084,0.20987654320987653,3.3079099398543836
root vegetables,other vegetables,0.004473817996949669,0.5945945945945945,3.0729573504139975
other vegetables,whipped/sour cream,0.003355363497712252,0.24444444444444444,3.410086682427108
whole milk,pip fruit,0.003965429588205389,0.24074074074074076,3.1823725607327757
root vegetables,yogurt,0.0037620742247076767,0.5,3.5841836734693873
whole milk,whipped/sour cream,0.003965429588205389,0.24074074074074076,3.358418702390334
whipped/sour cream,yogurt,0.003355363497712252,0.5238095238095238,3.7548590864917393
other vegetables,domestic eggs,0.0034570411794611084,0.20118343195266275,3.170895918676984
other vegetables,whipped/sour cream,0.004372140315200813,0.25443786982248523,3.5494985102186414
curd,yogurt,0.003253685815963396,0.4324324324324324,3.0998345284059563
curd,yogurt,0.003863751906456533,0.4935064935064935,3.5376358335542006
curd,yogurt,0.004677173360447382,0.42990654205607476,3.0817280183101277
curd,yogurt,0.0035587188612099642,0.4666666666666667,3.345238095238095
curd,yogurt,0.0052872394509405184,0.5148514851485149,3.6906445746615475
whole milk,whipped/sour cream,0.005897305541433655,0.22568093385214008,3.148329055937302
curd,yogurt,0.004575495678698526,0.43689320388349523,3.131810976817912
dessert,other vegetables,0.0034570411794611084,0.5964912280701754,3.0827594472255253
margarine,domestic eggs,0.003965429588205389,0.20103092783505158,3.1684922680412373
whole milk,domestic eggs,0.005185561769191663,0.2142857142857143,3.3774038461538463
domestic eggs,root vegetables,0.007320793085917641,0.32876712328767127,3.016254344714783
domestic eggs,whipped/sour cream,0.005083884087442806,0.228310502283105,3.185012468020337
domestic eggs,whipped/sour cream,0.003355363497712252,0.23404255319148937,3.264976610834465
sugar,domestic eggs,0.0035587188612099642,0.23648648648648646,3.7273150554400547
domestic eggs,whipped/sour cream,0.0035587188612099642,0.24822695035460993,3.462853981188069
frozen meals,tropical fruit,0.0035587188612099642,0.36082474226804123,3.4386737792695596
frozen vegetables,fruit/vegetable juice,0.00315200813421454,0.2540983606557377,3.5148486315740937
frozen vegetables,root vegetables,0.006100660904931368,0.3428571428571428,3.145522388059701
frozen vegetables,whipped/sour cream,0.003965429588205389,0.22285714285714286,3.108936170212766
frozen vegetables,root vegetables,0.003050330452465684,0.3488372093023256,3.2003861506421383
frozen vegetables,yogurt,0.003355363497712252,0.423076923076923,3.032770800627943
whole milk,fruit/vegetable juice,0.003355363497712252,0.24812030075187969,3.4321563402176327
fruit/vegetable juice,tropical fruit,0.00315200813421454,0.3297872340425532,3.1428851228764643
fruit/vegetable juice,yogurt,0.003863751906456533,0.4269662921348315,3.060651226782848
other vegetables,tropical fruit,0.0036603965429588205,0.4044943820224719,3.85484713875098
root vegetables,other vegetables,0.0036603965429588205,0.5901639344262295,3.050059009501822
other vegetables,root vegetables,0.0034570411794611084,0.3655913978494624,3.354096453217782
herbs,other vegetables,0.003863751906456533,0.23750000000000002,5.012473175965666
herbs,whole milk,0.004067107269954245,0.25,3.340692934782609
herbs,whole milk,0.004168784951703101,0.25625,5.23954002079002
whole milk,pip fruit,0.003050330452465684,0.2380952380952381,3.147401433691756
whole milk,tropical fruit,0.004067107269954245,0.31746031746031744,3.0254091300602926
long life bakery product,other vegetables,0.003355363497712252,0.6346153846153846,3.2797910182303243
whole milk,whipped/sour cream,0.003253685815963396,0.24060150375939848,3.356476297125793
margarine,yogurt,0.004067107269954245,0.43478260869565216,3.1166814551907716
margarine,yogurt,0.00315200813421454,0.46268656716417916,3.3167072799268964
other vegetables,whipped/sour cream,0.003355363497712252,0.2323943661971831,3.2419838178004197
oil,root vegetables,0.003863751906456533,0.38775510204081637,3.557436034115139
oil,other vegetables,0.003253685815963396,0.6153846153846154,3.180403411617285
oil,root vegetables,0.004473817996949669,0.39639639639639634,3.6367150732822373
onions,root vegetables,0.0056939501779359435,0.4,3.6697761194029854
onions,other vegetables,0.0036603965429588205,0.6428571428571428,3.32238570677877
onions,whipped/sour cream,0.00315200813421454,0.22142857142857145,3.0890070921985817
onions,root vegetables,0.004778851042196238,0.3949579831932773,3.6235184372256364
pork,other vegetables,0.0037620742247076767,0.6166666666666667,3.187029252058154
other vegetables,tropical fruit,0.00945602440264362,0.3618677042801557,3.4486132476698947
pip fruit,other vegetables,0.005592272496187087,0.6043956043956045,3.1236104935526905
other vegetables,root vegetables,0.0037620742247076767,0.4157303370786517,3.8140931578064734
other vegetables,root vegetables,0.012302999491611592,0.34277620396600567,3.144779819035136
other vegetables,tropical fruit,0.003050330452465684,0.33707865168539325,3.2123726156258163
other vegetables,whipped/sour cream,0.007829181494661922,0.21813031161473087,3.042995198199827
other vegetables,whipped/sour cream,0.003355363497712252,0.24444444444444444,3.410086682427108
other vegetables,whipped/sour cream,0.010167768174885612,0.23419203747072598,3.2670619695384255
pastry,tropical fruit,0.0037620742247076767,0.35238095238095235,3.358204134366925
rolls/buns,tropical fruit,0.004473817996949669,0.32116788321167883,3.0607423753748657
root vegetables,tropical fruit,0.0052872394509405184,0.33986928104575165,3.238967421593961
pip fruit,root vegetables,0.003050330452465684,0.3296703296703297,3.0245407577497136
pip fruit,tropical fruit,0.003253685815963396,0.34782608695652173,3.3147960903269293
pip fruit,tropical fruit,0.0037620742247076767,0.40659340659340665,3.8748509242695293
pip fruit,tropical fruit,0.006405693950177936,0.3559322033898305,3.3920476941269215
rolls/buns,sausage,0.005998983223182512,0.3072916666666667,3.2707938762626267
root vegetables,whipped/sour cream,0.004575495678698526,0.2173913043478261,3.032685784767191
root vegetables,tropical fruit,0.00813421453990849,0.31496062992125984,3.00158701092596
root vegetables,whipped/sour cream,0.006405693950177936,0.2480314960629921,3.4601273245099677
whole milk,sausage,0.00315200813421454,0.2924528301886793,3.1128502001143517
whole milk,yogurt,0.004575495678698526,0.4245283018867925,3.0431748170966504
soft cheese,whole milk,0.0034570411794611084,0.20238095238095238,3.612371445856019
tropical fruit,yogurt,0.0062023385866802234,0.44852941176470584,3.215223589435774
whole milk,whipped/sour cream,0.00315200813421454,0.24800000000000003,3.459687943262412
baking powder,whole milk,0.004372140315200813,0.24712643678160917,3.3067870826491514
citrus fruit,root vegetables,0.0037620742247076767,0.4457831325301205,4.093629419639341
other vegetables,pork,0.004168784951703101,0.211340206185567,3.665839378897798
other vegetables,root vegetables,0.007829181494661922,0.3969072164948454,3.6448015632369786
beef,other vegetables,0.004372140315200813,0.581081081081081,3.003117410631861
rolls/buns,root vegetables,0.004880528723945094,0.35820895522388063,3.289435177055897
beef,root vegetables,0.003965429588205389,0.48750000000000004,4.47671568627451
beef,root vegetables,0.0036603965429588205,0.48,4.407843137254901
whole milk,root vegetables,0.007930859176410779,0.37320574162679426,3.427150764612065
beef,root vegetables,0.004473817996949669,0.38260869565217387,3.5134981528843414
whole milk,None,0.004270462633451958,0.36206896551724144,5.0581651645768035
butter,root vegetables,0.003355363497712252,0.375,3.443627450980392
whipped/sour cream,other vegetables,0.003050330452465684,0.6521739130434783,3.3723083253326016
chocolate,butter,0.003355363497712252,0.20121951219512196,3.6378564383070304
other vegetables,domestic eggs,0.004473817996949669,0.22335025380710657,3.5259225460560084
butter,domestic eggs,0.00315200813421454,0.2440944881889764,3.853401751747324
whole milk,domestic eggs,0.005897305541433655,0.2140221402214022,3.3786641237198887
butter,None,0.0035587188612099642,0.44303797468354433,3.1781754055526323
whole milk,butter,0.003050330452465684,0.20689655172413793,3.7404918864097363
onions,butter,0.003050330452465684,0.25210084033613445,4.557742214532872
other vegetables,None,0.0056939501779359435,0.28426395939086296,3.9712159667743427
butter,root vegetables,0.0034570411794611084,0.3469387755102041,3.1859410430839
butter,None,0.003355363497712252,0.25984251968503935,3.630044291338583
butter,None,0.004473817996949669,0.4489795918367347,3.220798166093571
whole milk,None,0.0066090493136756485,0.23985239852398524,3.3507788913116405
butter,None,0.0037620742247076767,0.2569444444444445,3.5895576862373746
butter milk,None,0.003253685815963396,0.3137254901960784,4.147164242040902
whole milk,domestic eggs,0.003863751906456533,0.21965317919075145,3.4675586153146716
None,other vegetables,0.003050330452465684,0.5882352941176471,3.0400914963988748
whole milk,root vegetables,0.005897305541433655,0.3352601156069364,3.0786958328610825
whole milk,None,0.004067107269954245,0.23121387283236994,3.2300972149238047
whole milk,chocolate,0.003050330452465684,0.22556390977443608,4.545944779982744
citrus fruit,root vegetables,0.0034570411794611084,0.3333333333333333,3.061002178649237
citrus fruit,fruit/vegetable juice,0.003355363497712252,0.2619047619047619,3.622831692451946
citrus fruit,tropical fruit,0.003965429588205389,0.3823529411764706,3.6473726250927143
onions,other vegetables,0.0035587188612099642,0.6363636363636364,3.2905553962336294
citrus fruit,root vegetables,0.010269445856634469,0.3556338028169014,3.2657875356715453
other vegetables,citrus fruit,0.008947635993899338,0.24929178470254953,3.0157253413893907
root vegetables,citrus fruit,0.003863751906456533,0.24836601307189543,3.0045261236926093
citrus fruit,tropical fruit,0.005592272496187087,0.4044117647058823,3.857797968848063
citrus fruit,tropical fruit,0.005592272496187087,0.31609195402298845,3.015290366455957
tropical fruit,None,0.003050330452465684,0.4285714285714286,3.0743982494529543
whole milk,domestic eggs,0.003355363497712252,0.2037037037037037,3.2157719517270076
root vegetables,other vegetables,0.004372140315200813,0.581081081081081,3.0046963367152637
other vegetables,None,0.003253685815963396,0.23703703703703702,3.3114478114478114
whole milk,None,0.003965429588205389,0.24074074074074076,3.1823725607327757
root vegetables,None,0.0036603965429588205,0.48648648648648646,3.4898574723520017
whole milk,None,0.003863751906456533,0.2345679012345679,3.276953563411897
whipped/sour cream,None,0.003253685815963396,0.5079365079365079,3.6437312586109085
other vegetables,None,0.004270462633451958,0.24852071005917165,3.471876681011297
curd,None,0.003253685815963396,0.4324324324324324,3.102095530979557
curd,None,0.003863751906456533,0.4935064935064935,3.540216166036735
curd,None,0.004575495678698526,0.42056074766355145,3.0169328616127125
curd,None,0.0034570411794611084,0.45333333333333337,3.252030148310236
curd,None,0.005185561769191663,0.504950495049505,3.6223108087614015
whole milk,None,0.005795627859684799,0.2217898832684825,3.0984424743544396
curd,None,0.004473817996949669,0.42718446601941745,3.064448740555048
dessert,other vegetables,0.0034570411794611084,0.5964912280701754,3.084380246093678
